 122.015-7.072 0 42 5.46 55 30 54 1950 -48.8 valt - y 0 r 0 44 57,6 55 47 18 - 1.6 - - 00420+5530_Mol_3
 133.749+1.198 2 22 6.1 61 50 40 1950 -38.4 valt - y 2 r 2 25 53,5 62 4 10,7 - 10 - - 02226+6150_W3(3),LDN1359
 133.949+1.065 2 23 17.3 61 38 58 1950 -46.49 valt 133.94+1.04 y 2 - 2 27 4,62 61 52 25,6 - 4.2 - - 02232+6138_W3(OH)_
 158.395-20.575 3 26 4.8 31 3 13 1950 6.65 valt - y 0 - 3 29 10,25 31 13 31,2 - 3.28 - - _NGC1333_IRAS4A,HH_7-11,L1450
 170.657-0.269 5 16 53.62 36 34 20.9 1950 -4.9 valt - y 0 - 5 20 16,1 36 37 21 - 1.12 - - 05168+3634_Mol_9
 173.481+2.446 5 35 51.3 35 44 16 1950 -16.67 valt 173.49+2.42 y 1 r 5 39 12,85 35 45 54,1 - 14 - - 05358+3543_S231,RNO_49
 173.719+2.698 5 37 31.8 35 40 18 1950 -16.38 valt - - - - 5 40 53,27 35 41 48,8 - 57 - - 05375+3540_S235,S235B_,GGD_5-6,RNO_52
 174.20-00.08 5 27 30.04 33 45 39.3 1950 -2.7 valt 174.19-0.09 y 2 - 5 30 48 33 47 53,8 - 15.5 - - 05274+3345_AFGL_5142__,HH_190
 183.348-0.577 5 48 4.71 25 45 28.7 1950 -9.79 valt 183.34+0.59 y 2 - 5 51 10,6 25 46 14 - 3.3 - - 05480+2545
 189.032+0.785 6 5 41.1 21 31 35 1950 2.8 valt 189.03+0.76 y 2 - 6 8 41,12 21 31 3,6 - 4.9 - - 06056+2131_G188.9,RAFGL6366S,Mol_15
 192.597-0.035 6 10 1 18 0 44 1950 11.18 valt 192.60-0.05 y 2 - 6 12 56,37 17 59 53,8 - 17 - - 06099+1800_S255(0,44"),S255,_S257,IC2162
 194.934-1.227 6 10 23.06 15 23 27.6 1950 16.4 valt - y 2 - 6 13 15,1 15 22 36 - 2.7 - - 06103+1523_Mol_19
 203.316+2.055 6 38 24.9 9 32 28 1950 7.24 valt - y 2 - 6 41 9,62 9 29 34,9 - 63 - - 06384+0932_NGC2264,NGC2264_IRS3,HH_579
 205.109-14.111 5 44 30 0 20 40 1950 10.07 valt - y 3 r 5 47 4,1 0 21 42,1 - 7 - - 05445+0020_NGC2071,LDN1630,HH_437
 205.539-14.602 5 43 34 0 15 20 1950 10.42 valt - y 0 - 5 46 7,4 0 14 13,8 - 5.53 - - 05435-001_05435-0014_HH_25MMS,HH_26_IR,L1630
 206.538-16.358 5 39 11.4 -1 55 59 1950 9.9 valt - y 2 - 5 41 42,86 -1 54 33,6 - 1.7 - - 05393-0156_NGC2024__,(Orion_B),(W12)
 208.816-19.239 5 32 59.8 -5 11 29 1950 11.3 valt - y 0 - 6 35 27,48 -5 9 36,6 - 86 - - 05329-0512_OMC-2,HH_383,_384,_533,_667,_887
 208.993-19.385 5 32 47 -5 24 23 1950 8.57 valt - - - - 5 35 14,43 -5 22 29,6 - 19.2 - - _Orion-KL,HH_201,_202,_206,_207,_208,_209,_269,_510,_511,_513,_514,_517,_518,_523,_529,_624,_626
 29.96-0.02 18 43 27.1 -2 42 36 1950 98.5 valt 29.95-0.02 - - - 18 46 3,86 -2 39 21,6 - 18.0 - - 18434-0242_W43S
 30.69-0.06 18 44 58.9 -2 4 27 1950 89.5 valt 30.70-0.07 - - - 18 47 34,93 -2 1 6 - 14.3 - - 18450-0205_18450-0200
 30.82-0.06 18 45 11 -1 57 57 1950 96.81 valt 30.82-0.05 - - - 18 47 46,9 -1 54 35,2 - 48.0 - - 18454-0158_18454-0156_18458-0159_W43-Main(3)
 31.41+0.31 18 44 59.1 -1 16 10.66 1950 100.2 valt 31.41+0.31 - - - 18 47 34,21 -1 12 49,7 - 1.04 - - 18449-0115_18451-0114
 32.99+0.04 18 48 51.16 0 0 41.6 1950 83.7 valt - - - - 18 51 24,8 0 4 19 - 1.99 - - 18488+0000_Mol_73
 34.3+0.2 18 50 46.2 1 11 12 1950 56.41 valt - y 0 r 18 53 18,51 1 14 57,6 - 20.0 - - 18507+0110_N_EGO_5_[CES]_[CWH]__W44_
 34.403+0.233 18 50 45.29 1 21 9.5 1950 60.33 valt 34.39+0.24 y 3 r 18 53 17,4 1 24 55 - 10 - - 18507+0121_EGO_1_[CWH]_Mol_74
 34.82+0.352 18 51 6.1_1 46 38.4 4 1950 56.7 valt - y 0 r 18 53 37,74 1 50 25,4 - 0.26 - - 18510+0148_18511+0146_Mol_75,RAFGL5542
 35.03+0.35 18 56 32.36 2 5 19.3 1950 52.8 valt 35.02+0.35 - - - 18 54 1 2 1 20 - 3.25 - - 18515+0157_N_EGO_1__[CWH]__
 35.05-0.52 18 54 37.1 1 35 1 1950 49.94 valt - - - - 18 58 8,96 1 39 2,9 - 26.0 - - 18545+0134___
 35.20-0.74 18 55 40.8 1 36 30 1950 34.2 valt 35.20-0.74 - - - 18 58 12,63 1 40 36,4 - 81.0 - - 18556+0136_N_EGO_1__[CWH]__
 36.116+0.552 18 52 46.6 3 1 12.67 1950 75.7 valt 36.10+0.56 n - - 18 55 16,83 3 5 6,7 - 0.24 - - 18527+0300_18527+0301_Mol_77
 37.267+0.082 18 56 34.4 3 49 32.79 1950 90.3 valt - - - - 18 59 3,73 3 53 42,9 - 0.44 - - 18565+0349_Mol_82
 37.427+1.518 18 51 45.42 4 37 42.4 1950 43.97 valt - y 2 r 18 54 13,8 4 41 32 - 3.1 - - 18517+0437_Mol_76
 37.479+0.105 18 57 37.79 3 55 38.4 1950 59 valt 37.47-0.11 - - - 19 0 7 3 59 53 - 0.31 - - 18574+0355__N_EGO_1__[CWH]__
 39.10+0.491 18 58 30.83 5 38 25.8 1950 26.14 valt 39.10+0.48 - - - 19 0 58,1 5 42 44 - 7.26 - - 18585+0538_N_EGO_1_[CWH]__
 40.494+2.541 18 53 46 7 49 16 1950 33.3 valt - - - - 18 56 10,74 7 53 14,1 - 27.6 - - 18537+0749_S76E
 41.377+0.038 19 4 22.34 7 26 55.2 1950 58.69 valt - - - - 19 6 47,6 7 31 38 - _2.5 - - 19043+0726_Mol_93
 43.04-0.452 19 9 14.9 8 41 34.7 1950 58 valt 43.02-0.44 - - - 19 11 38,81 8 46 37,9 - 1.62 - - 19092+0841_N_N_EGO_4ab_[CWH]___Mol_98
 43.167+0.011 19 7 49.8 9 1 17 1950 15.57 valt 43.15+0.02 - - - 19 10 13,31 9 6 14,3 - 9.0 - - W49N
 43.304-0.208 19 8 52.4 9 2 25.4 1950 58.67 valt - - - - 19 11 15,9 9 7 27 - 10 - - 19088+0902_Mol_97
 45.07+0.13 19 11 0.48 10 45 48.58 1950 59.3 valt 45.07+0.13 y 0 r 19 13 22,05 10 50 59 - 1.89 - - 19110+1045_19111+1048
 45.47+0.07 19 12 4.5 11 4 22.46 1950 55.9 valt 45.44+0.07 y 1 r 19 14 25,73 11 9 37,3 - 0.27 - - 19120+1103_Y_EGO_1_[CWH]_
 49.267-0.337 19 20 48.95 14 14 22.2 1950 67.14 valt - y 0 r 19 23 6,7 14 20 13 - 0.65 - - Y__EGO_1__[CWH]
 49.472-0.371 19 21 20.5 14 24 12 1950 66.72 valt 49.49-0.39 y - - 19 23 38,08 14 30 4,9 - 14.0 - - 19213+1424_W51-Met5
 49.473-0.396 19 21 26.2 14 23 32 1950 56 valt 49.49-0.39 y - - 19 23 43,79 14 29 25,3 - 16.0 - - W51-Met1
 49.48-0.398 19 21 27.5 14 23 52 1950 53.95 valt 49.49-0.39 y - - 19 23 45,09 14 29 45,4 - 19.0 - - W51-Met3
 49.481-0.404 19 21 28.8 14 23 47 1950 56.67 valt 49.49-0.39 y - - 19 23 46,39 14 29 40,5 - 21.0 - - W51-Met2
 49.485-0.359 19 21 19.6 14 25 14.95 1950 60 valt 49.47-0.37 y 3 r 19 23 37,16 14 31 7,8 - 3.45 - - 19213+1424_W51N
 49.49-0.387 19 21 26.2 14 24 43 1950 48.88 valt 49.49-0.39 y 3 r 19 23 43,77 14 30 36,3 - 104. - - 19213+1424_W51e1/e2,W51Main/S
 53.032+0.117 19 26 40.23 17 45 41.5 1950 6.1 valt 53.01+0.12 y 0 r 19 28 54 17 51 56 - 5.6 - - 19266+1745___
 59.78+0.06 19 41 4.2 23 36 42 1950 22.59 valt 59.78+0.06 y 2 - 19 43 11,47 23 43 53,9 - 3.7/14 - - 19410+2336
 59.832+0.671 19 38 52.6 23 57 35.8 1950 35.4 valt 59.84+0.66 y 0 r 19 40 59,3 24 4 39 - 1.8 - - 19388+2357_Mol_110
 65.768-2.594 20 4 56.52 27 20 9.5 1950 6.6 valt - - - - 20 7 0,67 27 28 53 - 2.0 - - 20050+2720_Mol_114
 69.541-0.975 20 8 9.9 31 22 42 1950 12.04 valt 59.84+0.66 y 3 r 20 10 9,05 31 31 37,3 - 6.9 - - 20081+3122_ON_1
 73.062+1.797 20 6 17.14 35 50 31.9 1950 0.6 valt 59.84+0.66 y 0 r 20 8 9,7 35 59 20 - 2.5 - - 20062+3550_Mol_116
 75.772+0.343 20 19 52.4 37 17 10.38 1950 3.8 valt - y 3 r 20 21 44,41 31 26 48,3 - 4.13 - - 20198+3716_ON_2
 77.462+1.759 20 18 50.84 39 28 18.2 1950 3 valt - - - - 20 20 39,3 39 37 52 - 2.0 - - 20188+3928_Mol_121
 78.122+3.636 20 12 40.2 41 4 24.41 1950 -3.5 valt 78.10+3.64 y 2 - 20 14 25,15 41 13 35,8 - 2.62 - - 20126+4104_Mol_119
 78.983+0.349 20 29 24.39 39 53 5.9 1950 5.5 valt - - - - 20 31 13,7 40 3 17 - 20.7 - - 20293+3952
 81.664+0.552 20 37 7.6 42 8 46 1950 -2.47 valt - - - - 20 38 54,5 42 19 23,4 - 99.0 - - DR21-West_
 81.674+0.54 20 37 12.6 42 8 46 1950 -3.67 valt - - - - 20 38 59,51 42 19 23,7 - 32.0 - - DR21_
 81.722+0.572 20 37 13.8 42 12 13 1950 0.36 valt 81.72+0.57 - - - 20 39 0,62 42 22 50,8 - 211. - - DR21(OH),W75(OH)
 81.767+0.596 20 37 16.7 42 15 15 1950 -5.22 valt 81.76+0.59 y 2 - 20 39 3,45 42 25 52,9 - 22.0 - - W75S(3)
 81.877+0.784 20 36 50.4 42 27 23 1950 8.92 valt 81.87+0.78 y 3 r 20 38 36,74 42 37 59,4 - 23.1 - - W75N(0,22"),W75N_OH
 valttsXXX 20 37 15.26 42 15 5.2 1950 -4.6 valt 81.76+0.59 y 2 - 20 39 2 42 25 43 - 10.5 - - DR21N
 94.259-0.411 21 30 46.7 50 48 55.59 1950 -47.9 valt - y 1 r 21 32 30,77 51 2 14,9 - 0.94 - - 21307+5049_Mol_136
 99.982+4.17_21 39 10.3 - 58 2 29 1950 -0.5 valt - y 1 r 21 40 42,28 58 16 9,7 - 9.0 - - 21393+5802_21391+5802_IC1396N__,Mol_138,LDN1121,HH_589A,B,C,_590,_594,_592,_593,_777
 102.641+15.784 20 38 41 67 50 33 1950 0.69 valt - y 0 - 21 39 7,96 68 1 13,4 - 12.3 - - 20386+6751_L1157_B1,HH_375
 105.469+9.828 21 42 40 65 52 57 1950 -6.4 valt - y 0 - 21 43 49,39 66 6 45,9 - 16.0 - - 21426+6556_R146,NGC7129,GGD_35_A,B,C,GGD_32-35
 106.797+5.312 22 17 41.2 63 3 43 1950 -8.22 valt - y 2 - 22 19 18,25 63 18 48,3 - 12.0 - - 22176+6303_S140_IRS1,LDN1204,HH_615,_617
 108.596+0.493 22 50 38.76 59 44 58.2 1950 -51.3 valt - y 0 r 22 52 38,6 60 0 56 - 3 - - 22506+5944_Mol_151
 110.093-0.065 23 3 19.82 59 51 55.3 1950 -54.1 valt - y 2 r 23 5 25,7 60 8 7,9 - 13.0 - - 23033+5951
 111.236-1.238 23 15 8.7 59 12 25.2 1950 -52.3 valt - y 0 r 23 17 21 59 28 49 - 9.0 - - 23151+5912
 111.542+0.777 23 11 36.7 61 11 49 1950 -57.35 valt - y 2 - 23 13 45,34 61 28 9,7 - 52.0 - - 23116+6111_NGC7538_IR,S158
 114.513-0.535 23 38 20.9 60 53 52.84 1950 -52 valt - y 0 r 23 40 43,83 61 10 30,9 - 0.55 - - 23382+6053_23385+6053__Mol_160
 32.97+0.04 18 51 23.000 +00 03 46.00 2000 91.7 pest - - - - 18 51 23.000 +00 03 46.00 27.00 - 4.7 1 18488+0000_
 33.09-0.07 18 51 58.900 +00 07 27.00 2000 96.0 pest - - - - 18 51 58.900 +00 07 27.00 30.00 - 4.6 1 18494+0002_
 33.13-0.09 18 52 07.100 +00 07 56.00 2000 73.0 pest - - - - 18 52 07.100 +00 07 56.00 12.40 - 5.2 1 18495-0004_
 33.40+0.01 18 52 10.600 +00 25 09.00 2000 105.0 pest - - - - 18 52 10.600 +00 25 09.00 20.00 - 4.5 3 18497+0022_
 33.64-0.21 18 53 28.700 +00 31 58.00 2000 60.3 pest - - - - 18 53 28.700 +00 31 58.00 108.70 - 5.6 1 18509+0027_
 33.68-0.26 18 53 45.200 +00 32 47.00 2000 62.6 pest - - - - 18 53 45.200 +00 32 47.00 68.00 - 5.6 1 18512+0029_
 33.74-0.15 18 53 26.900 +00 39 01.00 2000 53.6 pest - - - - 18 53 26.900 +00 39 01.00 1.40 - 5.9 2 18509+0035_
 33.86+0.01 18 53 05.200 +00 49 36.00 2000 64.0 pest - - - - 18 53 05.200 +00 49 36.00 3.00 - 5.5 2 18504-0044_
 33.97-0.00 18 53 24.100 +00 55 13.00 2000 59.0 pest - - - - 18 53 24.100 +00 55 13.00 3.90 - 5.7 2 18508+0052_
 34.10+0.01 18 53 31.900 +01 02 26.00 2000 55.9 pest - - - - 18 53 31.900 +01 02 26.00 4.80 - 5.8 1 18509-0058_
 34.24+0.13 18 53 21.500 +01 13 43.00 2000 55.0 pest - - - - 18 53 21.500 +01 13 43.00 20.00 - 5.8 1 18507+0110_
 34.39+0.24 18 53 21.500 +01 24 09.00 2000 55.8 pest y - - - 18 53 21.500 +01 24 09.00 27.00 - 5.8 2 18507+0121_
